Method,p,Adj.R2,Cp,BIC,target
Fwd (CV),0,0.0,39.417770712904485,-8562.27442453599,ret_GBPUSD_cum10
Bwd (Cp),7,0.04510417805106204,-3.5007676485477077,-8569.899445790797,ret_GBPUSD_cum10
Bwd (CV),0,0.0,39.417770712904485,-8562.27442453599,ret_GBPUSD_cum10
Ridge,29,0.03329265201544518,31.474526478319603,-8425.651537010126,ret_GBPUSD_cum10
Lasso,20,0.03982298669372719,15.384231595934125,-8486.478503682772,ret_GBPUSD_cum10
PCR,16,0.03142613566377095,20.530883725399008,-8500.986353945043,ret_GBPUSD_cum10
PLS,2,0.050043011447405195,-14.018921835247966,-8605.309079928691,ret_GBPUSD_cum10
Fwd (Cp),6,0.026255472347231357,-1.9082043514069937,-6925.50513364201,ret_GC_cum10
Fwd (CV),0,0.0,20.650859421198902,-6932.845364122813,ret_GC_cum10
Bwd (Cp),6,0.026255472347231357,-1.9082043514069937,-6925.50513364201,ret_GC_cum10
Bwd (CV),0,0.0,20.650859421198902,-6932.845364122813,ret_GC_cum10
Ridge,29,-0.01899680529629677,69.25712632593172,-6739.804244842897,ret_GC_cum10
Lasso,0,0.0,20.650859421198902,-6932.845364122813,ret_GC_cum10
PCR,15,0.013138569918694443,21.259624033367118,-6857.485059417613,ret_GC_cum10
PLS,2,0.03470844467792056,-15.135265979025007,-6958.7295854208705,ret_GC_cum10
Fwd (Cp),5,0.044626564724761564,0.31541245387825256,-8452.918840877779,ret_JPYUSD_cum10
Fwd (CV),0,0.0,45.00284428341865,-8433.88983357434,ret_JPYUSD_cum10
Bwd (Cp),5,0.044626564724761564,0.31541245387825256,-8452.918840877779,ret_JPYUSD_cum10
Bwd (CV),0,0.0,45.00284428341865,-8433.88983357434,ret_JPYUSD_cum10
Ridge,29,0.034366161101597625,35.56384638782356,-8298.456930878643,ret_JPYUSD_cum10
Lasso,6,0.03374417317572176,13.375785708863077,-8434.818094803783,ret_JPYUSD_cum10
PCR,13,0.02567552434570297,29.213131449033654,-8384.146817137507,ret_JPYUSD_cum10
PLS,1,0.046482060520454005,-5.771033902143017,-8478.89131769719,ret_JPYUSD_cum10
Fwd (Cp),6,0.04545233443195007,-5.499080600015986,-6357.534333939675,ret_XLE_cum10
Fwd (CV),2,0.03472032694930005,2.32042996127484,-6369.446862411468,ret_XLE_cum10
